eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
19.49,14.335918589999999,7,0.0076353676,0.103125,4.2612634,-0.016645642,0.69940245,-0.21764087677001953,1,2048,277.93834597299974,2048
23.98,22.065030019999995,39,0.007903854,0.111279294,4.2417254,-0.016484655,0.28712994,0.024165749549865723,2,4096,329.7389900049998,4096
29.68,32.35273113,38,0.011602498,0.15878907,4.197184,-0.02109858,0.34905425,0.17426419258117676,3,6144,383.076034099,6144
38.2,55.15773762999999,37,0.011327619,0.15200195,4.165902,-0.02317985,0.34329402,0.2002025842666626,4,8192,437.49985730599974,8192
47.42,79.56338138,38,0.009751924,0.13803712,4.147598,-0.02103303,0.2368147,0.23296082019805908,5,10240,490.87585670199996,10240
57.98,107.62510272000002,38,0.010334032,0.14667968,4.133838,-0.020542476,0.1950491,0.20880794525146484,6,12288,544.433314546,12288
65.52,129.36409655,37,0.009542999,0.12666015,4.1299925,-0.016629623,0.13987997,0.3424417972564697,7,14336,598.5346579459997,14336
73.08,151.33376822000002,37,0.006823077,0.08920898,4.130588,-0.01002545,0.10463234,0.4520106911659241,8,16384,653.0275953259998,16384
78.85,168.95908778999998,39,0.0071896454,0.0949707,4.121443,-0.013018456,0.07672603,0.6001442968845367,9,18432,704.6929506639999,18432
83.49,182.24005953,38,0.0062733977,0.08017578,4.1135187,-0.009558618,0.04339164,0.722780853509903,10,20480,758.43401227,20480
87.74,194.02482906999998,38,0.0048167678,0.053515624,4.083793,-0.007900918,0.02319875,0.8273528665304184,11,22528,812.299412418,22528
88.1,195.56609919,38,0.004968582,0.05546875,4.0518723,-0.0080876425,0.010444885,0.910750724375248,12,24576,866.132052254,24576
88.01,195.63361948999997,39,0.006070207,0.075,4.0343018,-0.009489506,0.0055935094,0.9517142623662949,13,26624,917.6509632509997,26624
89.23,199.07761088000007,38,0.007507544,0.09580078,4.0062947,-0.0098555,0.0029947176,0.9751512743532658,14,28672,970.5799064749999,28672
89.48,199.96114805000002,39,0.007234075,0.093603514,3.9617698,-0.0113352975,0.0024932818,0.9863735418766737,15,30720,1022.2833318630001,30720
89.82,201.20426102000002,39,0.0072073317,0.09736328,3.9196944,-0.012523117,0.0016926315,0.9936914388090372,16,32768,1073.5943402459998,32768
90.8,203.79044391000002,38,0.0073308228,0.099121094,3.9071114,-0.013055891,0.0013589414,0.9956773677840829,17,34816,1126.54221608,34816
91.88,206.8339244,37,0.008930438,0.12114258,3.8979201,-0.013909322,0.0011424711,0.9964241625275463,18,36864,1181.001876719,36864
92.96,209.97882691000007,37,0.009357819,0.12866211,3.8829656,-0.014870991,0.0014709487,0.9954734141938388,19,38912,1236.0667264029998,38912
94.35,213.84312398000003,37,0.008440059,0.109521486,3.8818955,-0.015822832,0.0011129773,0.9960968564264476,20,40960,1290.4573882509999,40960
95.61,217.49438599,38,0.009459979,0.1359375,3.870554,-0.015581931,0.0021119344,0.9921809704974294,21,43008,1343.505534071,43008
96.65,220.30490150999998,38,0.009693923,0.13378906,3.8483315,-0.01691232,0.0016001684,0.995345588773489,22,45056,1396.302961665,45056
97.77,223.50275240000002,37,0.0078115514,0.1046875,3.8305829,-0.0136330305,0.0026538172,0.9925355766899884,23,47104,1450.492553309,47104
99.88,230.01062395,39,0.009691166,0.13496093,3.8125935,-0.0185997,0.004184275,0.9842258058488369,24,49152,1502.7970533769999,49152
102.44,238.78019039000003,40,0.008204889,0.11381836,3.792136,-0.016839126,0.009967845,0.9670849479734898,25,51200,1552.9877228249998,51200
105.07,248.19124151999998,38,0.009078493,0.12241211,3.7587159,-0.015358778,0.015004555,0.9503898620605469,26,53248,1606.310438679,53248
108.86,262.49811141999993,38,0.009576546,0.12646484,3.723988,-0.017118316,0.013503252,0.9558784402906895,27,55296,1659.539797601,55296
113.64,281.0182288,37,0.008595954,0.11186524,3.682598,-0.0116954725,0.0062862495,0.9715061075985432,28,57344,1714.593360246,57344
118.22,298.63185537000004,37,0.010412122,0.13427734,3.6524854,-0.017254286,0.0034447946,0.9855191297829151,29,59392,1769.8425227379998,59392
122.93,317.2244396,41,0.009971509,0.13325195,3.6312962,-0.015641447,0.002981059,0.9890451356768608,30,61440,1818.8528755849998,61440
127.46,335.65148933000006,40,0.008705812,0.11645508,3.6101696,-0.013989466,0.0021850155,0.9915230059996247,31,63488,1869.5375574509999,63488
131.46,351.8546602599999,39,0.007962996,0.10405274,3.61091,-0.014578636,0.0016221438,0.9950555390678346,32,65536,1921.3323294720003,65536
135.36,367.96416834999997,41,0.0062682377,0.07719727,3.6111245,-0.009738663,0.0012085704,0.9953962862491608,33,67584,1970.751482603,67584
138.17,379.65998778999995,40,0.008302584,0.11035156,3.5834427,-0.014068636,0.0012504067,0.9968569767661393,34,69632,2020.854884929,69632
140.18,388.54528942,40,0.0068128556,0.08710937,3.5602798,-0.010996001,0.00088574865,0.9981103686150163,35,71680,2071.641523468,71680
141.92,395.8597694299999,39,0.00825367,0.11191406,3.5466456,-0.013168638,0.0008808337,0.9979339856654406,36,73728,2123.047958508,73728
143.24,401.2740839199999,39,0.008409065,0.1121582,3.529726,-0.013181454,0.00091421686,0.9978948463685811,37,75776,2174.597468952,75776
144.3,404.65903213999997,37,0.0086993985,0.11826172,3.522717,-0.01639189,0.0012056229,0.996425996767357,38,77824,2228.651233355,77824
145.65,409.3580426800001,39,0.0071739564,0.09296875,3.5218308,-0.007532095,0.0032703336,0.9884636513888836,39,79872,2280.3084557069997,79872
147.91,416.52966950999996,40,0.006298805,0.076123044,3.5072074,-0.007876923,0.004509266,0.9789534267038107,40,81920,2330.553047706,81920
149.15,418.75974625,39,0.008794697,0.11665039,3.4937305,-0.013192798,0.0013410042,0.9949734918773174,41,83968,2382.68860081,83968
150.85,424.1947684999999,39,0.0068845106,0.0828125,3.4557347,-0.009641614,0.002542266,0.9888695264235139,42,86016,2435.1830545329994,86016
153.01,431.71119203999996,40,0.008497429,0.114990234,3.417089,-0.013027499,0.005948848,0.9785939864814281,43,88064,2485.474149595,88064
154.42,436.78399519000004,36,0.009630797,0.13388672,3.4017117,-0.015406229,0.0026593306,0.9908785428851843,44,90112,2541.457200891,90112
159.99,457.82034797999995,40,0.009810676,0.13085938,3.378699,-0.014643842,0.0047617555,0.9786943607032299,45,92160,2592.2192762899995,92160
164.29,473.69826480999996,42,0.008449542,0.11142578,3.3548036,-0.015485318,0.00472906,0.9833619613200426,46,94208,2640.660690316,94208
169.91,494.13346909999996,38,0.00841847,0.10727539,3.3321693,-0.012957062,0.004197803,0.9869928685948253,47,96256,2694.056372076,96256
175.08,514.21789055,39,0.008918588,0.12055664,3.3188567,-0.015277004,0.0028437153,0.9894406981766224,48,98304,2745.7074668039995,98304
181.11,536.21369047,14,0.007599333,0.099853516,3.3130436,-0.011848032,0.003134609,0.9881761102005839,49,100352,2885.9856349499996,100352
188.05,561.71450367,10,0.00867424,0.1171875,3.3112717,-0.013034873,0.0029706687,0.9864284405484796,50,102400,3086.8180848969996,102400
193.99,583.27534625,38,0.009296572,0.11899414,3.3233361,-0.010550329,0.024831766,0.9409603625535965,51,104448,3139.7337085239997,104448
200.42,605.25029078,40,0.009010849,0.11538086,3.3077188,-0.012627241,0.0020069615,0.9923740848898888,52,106496,3190.7914996090003,106496
206.98,627.67604542,43,0.009221824,0.12636718,3.266821,-0.013157897,0.0028811,0.9916464444249868,53,108544,3238.40545492,108544
214.94,652.93257658,39,0.007564243,0.099804685,3.2550964,-0.009887346,0.018596416,0.9412619136273861,54,110592,3289.8510801439998,110592
223.37,681.00291764,42,0.0101342425,0.13793945,3.256703,-0.015856368,0.032681935,0.8929204493761063,55,112640,3337.60809901,112640
226.47,692.16648991,40,0.007677237,0.103320315,3.2609782,-0.0122214,0.0017962465,0.9918759195134044,56,114688,3388.7589501410002,114688
234.26,718.9755970699999,41,0.009157107,0.12060547,3.2650597,-0.014860144,0.0019489065,0.9919587364420295,57,116736,3438.6227526129996,116736
240.86,738.9330362300002,42,0.007932467,0.103466794,3.259891,-0.0062297108,0.02185454,0.9322044849395752,58,118784,3486.9999356939998,118784
246.6,757.47680783,40,0.008005228,0.1059082,3.2604225,-0.009668775,0.014795773,0.9525553770363331,59,120832,3537.864996515,120832
250.53,767.5827399000002,40,0.009404435,0.12460937,3.2701936,-0.014073236,0.0508598,0.8300807774066925,60,122880,3587.8626773429996,122880
256.38,786.2810662500001,43,0.008871852,0.115234375,3.2787526,-0.010467067,0.020978605,0.9283678233623505,61,124928,3634.981586948,124928
263.17,809.3910742199998,39,0.009241557,0.13217774,3.271257,-0.016488828,0.0027411631,0.987467685714364,62,126976,3686.447049057,126976
267.42,822.84349083,40,0.00907998,0.120996095,3.2558663,-0.013163653,0.0025059592,0.9901860719546676,63,129024,3737.2776259069997,129024
272.21,840.4775892900001,41,0.0075746267,0.098242186,3.2580616,-0.011926503,0.0013717478,0.9942746129818261,64,131072,3786.3670026199998,131072
277.71,858.5617102899997,39,0.0080947615,0.10708008,3.2572403,-0.013174625,0.002469015,0.9861129280179739,65,133120,3838.3725297599995,133120
