# {"t_start": 1596282189.6371377, "env_id": "Hopper-v2"} 
r,l,t
15.002386,18,7.854327
13.809427,14,10.944557
9.869305,14,13.895249
50.480077,46,25.781931
15.942369,18,29.838459
12.104425,14,33.25884
7.63595,10,35.48519
15.775955,31,43.565414
17.737005,26,50.315228
8.180079,15,53.466802
11.394745,13,56.673398
12.678205,18,60.483203
16.228153,22,66.33665
3.77877,18,70.929652
20.433629,29,78.266436
8.599156,18,82.651067
5.292041,12,85.274267
18.982411,19,90.431904
21.135313,21,95.6052
17.798015,17,100.389724
8.060712,25,105.99157
18.205763,23,111.855758
14.297283,15,115.636063
12.872462,19,120.527147
9.319165,11,123.410891
16.751602,18,128.584484
14.022959,15,132.443704
10.929665,14,135.350389
21.981308,20,140.254877
9.894398,26,145.464341
22.334882,35,154.114353
6.296888,14,157.639884
7.666411,12,159.942722
44.817872,32,168.419789
8.249001,12,170.955893
15.819913,22,176.277282
6.54172,9,178.743149
21.173655,28,185.634124
8.614927,13,189.265708
6.824708,9,191.626607
61.810512,42,202.398052
11.246977,14,205.798488
62.573734,43,216.185529
41.708424,34,224.351437
19.601565,20,228.852639
17.890436,17,233.255185
9.554859,16,236.660154
25.211183,29,243.214208
10.17516,12,245.675262
11.653899,13,248.324761
5.527448,9,248.484908
2.139171,13,248.861349
13.62035,30,249.442293
7.535851,13,249.734671
16.580937,17,250.079088
11.716644,14,250.392264
33.803401,29,251.115182
7.753539,10,251.335452
2.075072,19,251.767708
20.511127,21,252.24795
12.438389,13,252.573133
38.944007,31,253.385593
12.155322,17,253.779011
15.536039,18,254.147905
9.969892,13,254.43458
10.222584,14,254.732153
7.045539,12,254.988525
4.263028,20,255.505187
14.445646,18,255.873467
5.524286,7,256.018055
3.780263,10,256.231078
20.474019,28,256.82675
8.536798,11,257.083965
12.645812,14,257.363365
8.03144,14,257.721843
8.22519,13,257.969686
9.101922,12,258.201359
19.475393,28,258.763296
26.525062,24,259.312916
47.492079,47,260.43829
6.76933,10,260.667173
12.378597,17,261.076396
9.082583,15,261.422801
9.665555,16,261.83185
24.902671,32,262.670138
11.955385,20,263.072994
10.227026,12,263.338726
204.261758,113,265.820292
13.850947,28,266.624879
9.393061,12,266.800992
74.725095,59,268.004048
27.455082,29,268.718051
12.968144,14,269.041021
10.86866,23,269.471201
17.093729,18,269.830776
20.760435,21,270.287268
29.583811,39,270.862119
25.359824,31,281.035145
9.13769,12,281.319973
9.970951,12,281.608661
13.493097,24,282.306084
20.232838,30,282.772887
10.274366,14,283.025086
34.985585,33,283.669993
23.865276,31,284.196077
23.397318,49,285.236531
17.509769,35,285.946314
31.929624,26,286.442048
32.196432,36,287.152231
62.61569,42,288.01352
12.374905,14,288.314482
6.854293,11,288.548001
11.05972,19,289.054855
6.407169,9,289.233802
7.611335,18,289.585756
9.36726,10,289.77511
49.693287,38,290.645641
13.511856,16,290.963454
12.837611,22,291.561059
6.514188,16,291.988733
10.068802,12,292.249933
11.078611,15,292.653964
94.357171,63,294.050826
13.013157,16,294.208254
10.408165,13,294.370909
14.770701,19,294.582652
77.436668,46,295.717028
18.06378,22,296.503366
5.741217,11,296.804027
7.50617,10,297.022906
27.621992,21,297.542308
8.61065,22,298.07993
80.876124,53,299.425471
16.941287,27,300.165755
27.185842,24,300.65326
16.397837,17,300.961771
10.691904,13,301.269261
55.105015,41,302.002193
22.132988,23,302.543615
36.89049,29,303.116653
10.560579,23,303.590492
8.419456,12,303.862514
11.401417,13,304.081952
11.541248,16,304.386886
20.896245,20,304.924698
6.480648,9,305.171705
15.106145,17,305.565008
16.473402,19,305.927044
23.775095,26,306.618181
10.863159,21,307.116346
19.628009,32,308.005879
8.323725,11,308.32852
9.732228,11,308.507852
29.194392,28,309.05719
38.244133,37,309.640583
7.747974,10,309.893838
72.117311,43,310.693997
6.1686,10,310.992946
8.793615,11,311.33501
13.071214,18,311.69766
8.848772,15,311.985967
50.007812,38,312.861857
11.707987,14,313.190844
5.575896,8,313.587496
8.570901,11,313.810518
9.476799,12,314.06993
16.312913,17,314.594276
6.537226,9,314.941916
27.25838,26,315.526656
14.181803,19,316.104824
14.51589,19,316.459486
17.862987,23,316.672747
14.128168,15,316.768786
10.326928,12,316.841192
17.476846,33,317.391155
14.983575,18,318.10894
12.320448,15,318.526876
25.411891,22,319.216167
46.258672,38,319.843777
5.869155,15,320.356209
12.912415,18,320.689087
8.453687,14,320.82444
23.909245,30,321.516721
20.601135,26,321.958215
20.313689,25,322.609325
10.472562,12,323.007479
16.011394,16,323.088616
24.345451,33,323.439316
7.895831,12,323.539562
9.931837,14,323.699559
167.493144,78,332.287303
32.168473,28,332.798241
64.728129,61,334.083042
7.871877,11,334.320812
50.524361,49,335.271194
97.98135,69,336.833798
62.975904,50,337.834201
112.539506,101,340.038095
25.411057,27,340.477252
40.64244,60,341.367672
56.454137,34,342.187522
21.119654,20,342.770976
15.754865,18,343.230076
10.11914,13,343.594116
58.757474,35,344.2363
7.53633,23,344.840731
12.590802,19,345.18621
19.700985,25,345.580707
173.126712,102,347.879809
22.969533,21,348.38544
14.308838,19,348.822322
60.422167,37,349.846309
30.771897,27,350.527987
97.042318,63,352.107946
12.838383,17,352.523799
93.729365,57,353.542128
18.296147,22,353.995728
10.046276,13,354.255602
8.603657,10,354.44312
42.101935,42,355.065372
131.502301,83,357.63556
133.386869,77,359.456665
9.364356,12,359.757413
10.303648,12,359.99065
12.242532,17,360.49217
28.839238,26,360.918073
13.913929,14,361.085364
170.950282,87,363.523914
14.642726,17,363.983562
13.902498,15,364.429841
10.446524,13,364.710348
76.763474,68,366.114537
14.259586,15,366.297156
41.860124,46,367.428515
45.073466,56,368.371187
6.844687,13,368.436547
8.459769,10,368.521381
36.527471,39,369.462049
14.307549,21,369.909289
175.766688,83,371.927532
14.945886,20,372.298169
20.882165,23,372.806726
52.298808,54,373.920239
94.320168,54,374.288969
29.316429,26,374.631019
15.914726,17,374.799571
29.000544,27,374.936529
97.657955,74,384.484747
105.219012,57,385.911345
58.049436,40,386.901288
17.442254,41,388.006462
40.645088,38,388.991106
127.286966,69,390.429817
83.619072,47,391.448421
90.820662,118,394.265828
92.27472,52,395.188538
36.282966,34,395.828772
78.712927,45,397.003116
149.395392,73,398.865644
46.988684,33,399.659154
135.126707,87,401.661487
133.234167,84,403.453262
117.373564,75,405.283421
63.235419,55,406.597324
65.323119,39,407.555828
91.733092,52,408.514147
97.853013,54,409.649169
72.079282,68,410.941143
138.396625,82,412.570258
162.97825,93,414.800247
201.859028,103,417.375755
109.875736,72,419.23762
101.329227,70,420.898262
262.355506,145,424.21098
174.576658,103,426.628871
92.849702,64,428.130389
10.453935,15,428.457904
151.324523,94,436.443733
115.627021,74,437.963443
