# {"t_start": 1597490725.952815, "env_id": "HopperBulletEnv-v0"} 
r,l,t
15.831983,14,3.226239
19.596774,16,3.755739
16.524247,6,3.958577
15.397897,14,4.544135
17.695803,15,5.113515
15.814912,5,5.355643
16.463795,12,6.013346
17.797778,6,6.294124
9.263031,15,6.917761
15.412473,10,7.351589
15.030354,9,7.730228
16.09453,5,7.935976
19.269193,6,8.185995
12.948735,8,8.595963
18.95218,15,9.369506
18.304673,8,9.787185
15.549158,8,10.128532
13.6261,11,10.5916
15.536471,5,10.80694
15.276661,10,11.237823
14.406427,7,11.53697
17.764368,10,11.978131
14.431062,13,12.514164
14.080291,7,12.810761
7.670966,28,14.03078
15.718142,18,14.938029
15.76631,10,15.523702
19.750539,11,15.962807
26.338823,33,17.431523
18.275294,26,18.52715
19.815549,8,18.923878
16.190933,8,19.255775
16.481721,6,19.507918
14.441574,8,19.860758
17.107473,15,20.507765
14.906751,7,20.826476
20.793386,11,21.321783
16.529176,13,21.897305
17.76961,12,22.507425
15.512994,11,23.056079
17.590528,6,23.312228
21.029686,7,23.615398
21.803534,13,24.212179
15.335319,10,24.688965
15.232282,10,25.160138
16.727423,12,25.678965
12.806601,15,26.326003
14.49486,17,27.053148
18.991167,6,27.308109
13.906256,7,27.602224
13.994183,7,27.923269
23.449996,21,28.920652
13.579138,9,29.355658
15.307957,7,29.638496
16.099209,9,30.045668
16.544346,7,30.351549
16.285144,9,30.752496
15.612578,9,31.316595
14.928601,6,31.59216
17.336992,8,31.955929
12.055237,11,32.426335
14.454822,8,32.776478
16.543361,23,33.792305
17.494422,8,34.189814
18.764596,9,35.28266
16.886934,9,36.053612
15.299528,12,36.719396
18.928954,7,37.085409
13.73778,9,37.480694
20.161833,8,37.837993
18.369174,7,38.138857
13.590433,9,38.554093
16.420498,10,38.996007
18.173474,13,39.628439
12.518125,10,40.054018
10.504677,14,40.653717
15.085588,10,41.06334
16.15632,6,41.312625
19.003839,13,41.927385
12.262338,12,42.419956
16.741661,12,42.934972
14.120736,8,43.263515
19.540103,14,43.843106
12.977623,7,44.133691
12.002134,11,44.572862
16.997224,7,44.915934
16.606501,10,45.317925
16.043227,6,45.558065
15.274994,7,45.864862
9.759515,12,46.349688
19.343116,11,46.829476
16.848056,18,47.561789
18.520196,8,47.876082
17.750221,8,48.482413
18.538054,7,48.495652
19.099379,10,48.512945
14.811897,10,48.530156
19.819911,13,48.553301
15.311152,19,48.586945
17.874214,7,48.600245
17.025023,14,48.624975
11.040573,6,48.635829
15.657826,7,48.648707
12.35765,11,48.668124
17.247855,13,48.690899
24.442646,20,48.72568
14.736224,16,48.75489
13.930795,8,48.769824
16.076445,8,48.784576
17.202743,6,48.795332
15.135117,7,48.808459
19.845759,14,48.83307
17.868981,6,48.84461
18.525164,11,48.864718
15.093955,7,48.877146
14.604405,6,48.887811
13.643187,15,48.914205
14.945143,10,48.932079
13.612623,14,48.956513
17.592589,9,48.972718
18.063011,8,48.988148
20.297984,10,49.006287
11.703576,14,49.031055
12.73204,8,49.046305
17.896256,9,49.066101
13.521432,5,49.075152
14.75882,11,49.095888
8.599359,17,49.129311
20.119342,11,49.150784
13.184599,7,49.165479
15.445674,6,49.176818
17.073675,15,49.205743
14.845868,13,49.228706
13.47899,5,49.24035
17.312842,7,49.253473
14.14813,6,49.264341
15.591226,12,49.285586
16.732897,13,49.307279
18.682944,7,49.319535
17.947565,8,49.33475
17.982956,10,49.353283
16.043422,6,49.364971
7.665236,11,49.385047
18.662436,9,49.404551
3.717734,19,49.437929
15.382785,9,49.456744
20.69892,13,49.486767
15.971226,13,49.509757
17.551895,23,49.557084
13.64159,10,49.577722
16.434998,15,49.605324
18.048506,9,49.620706
15.591552,14,49.644817
16.842071,11,49.667208
17.141138,13,49.690662
14.137495,12,49.711511
14.358725,8,49.726521
11.966697,6,49.737342
19.074111,10,49.754956
16.663776,5,49.765225
15.65532,6,49.777041
18.135628,6,49.788369
14.538911,12,49.810739
18.679218,17,49.841997
