eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
10.85,16.05213895,42,0.005249384,0.053710938,4.24009,-0.007133278,40.517487,-0.012176990509033203,1,2048,48.465660469,2048
9.45,16.462304500000002,422,0.0071076564,0.09213867,4.209293,-0.01039314,40.30838,0.08238548040390015,2,4096,53.312360307,4096
9.95,17.049475750000003,393,0.008493188,0.12001953,4.1682763,-0.01422563,35.416756,0.14164608716964722,3,6144,58.522372355,6144
9.55,16.79999116,403,0.0068273954,0.08203125,4.1134424,-0.0118785305,32.190277,0.26787352561950684,4,8192,63.595922357999996,8192
8.75,17.28902081,458,0.00764497,0.09404297,4.068213,-0.01083286,28.59074,0.3429948091506958,5,10240,68.066522343,10240
8.18,16.752113419999997,460,0.0065661306,0.07919922,4.0193624,-0.009590888,26.9371,0.4189583659172058,6,12288,72.51605911,12288
8.02,17.122372180000003,416,0.008036427,0.09423828,3.9613965,-0.010579749,24.29005,0.4785332679748535,7,14336,77.432505871,14336
8.07,17.560186150000003,385,0.0076022455,0.08623047,3.895918,-0.009160368,22.394245,0.5527450144290924,8,16384,82.739799772,16384
8.02,17.61449687,436,0.007321776,0.088085935,3.82515,-0.01192608,20.004261,0.5781396329402924,9,18432,87.43528503900001,18432
8.63,18.2466985,433,0.006390183,0.06894531,3.7605329,-0.0077360324,19.643578,0.5888407826423645,10,20480,92.161103849,20480
8.92,18.63012342,424,0.007373898,0.095703125,3.7101166,-0.010596432,17.408525,0.6388734877109528,11,22528,96.985952689,22528
8.52,18.50147006,431,0.0064309514,0.07290039,3.6642807,-0.00903012,15.279707,0.6836925446987152,12,24576,101.733441975,24576
9.01,18.8877311,458,0.008452487,0.10576172,3.5966058,-0.013575916,15.208692,0.6677803099155426,13,26624,106.204002567,26624
9.86,19.773832889999998,448,0.0070360163,0.08066406,3.534769,-0.008965492,14.72711,0.7054497599601746,14,28672,110.774935132,28672
10.63,20.32241356,446,0.009441005,0.12163086,3.4749928,-0.015283076,17.84226,0.6563619673252106,15,30720,115.359604084,30720
12.93,21.581908979999998,363,0.0069667883,0.079394534,3.4099605,-0.0092920605,16.81533,0.6477060914039612,16,32768,120.989986484,32768
15.0,23.659962969999995,444,0.00856902,0.113867186,3.3567073,-0.012158582,22.171112,0.6084333062171936,17,34816,125.597887839,34816
16.41,25.01805793,478,0.006232692,0.074365236,3.325822,-0.008773598,23.346241,0.5749049186706543,18,36864,129.882694658,36864
21.96,28.552333130000008,475,0.0058974475,0.072314456,3.2933946,-0.007835176,31.69222,0.4819459915161133,19,38912,134.193225419,38912
24.32,31.30514669,468,0.008610313,0.11230469,3.261776,-0.012752409,32.040047,0.5449222326278687,20,40960,138.567963666,40960
28.0,36.38809355,468,0.008038351,0.09897461,3.2067184,-0.010249659,41.99959,0.5343139171600342,21,43008,142.93647641899997,43008
32.04,39.414733309999995,455,0.009107491,0.11171875,3.1373827,-0.012735811,39.747982,0.4804624319076538,22,45056,147.437287586,45056
34.39,41.46403891,482,0.008754382,0.107226565,3.0849195,-0.010084855,39.692314,0.5784937143325806,23,47104,151.682479989,47104
33.75,42.171579140000006,479,0.008884011,0.10961914,3.0436754,-0.010585715,39.12821,0.5602715611457825,24,49152,155.95187306199998,49152
34.33,44.29546458,480,0.007015515,0.08867188,2.9961069,-0.007907468,44.938408,0.5849730372428894,25,51200,160.211132357,51200
36.97,47.51786963999999,482,0.008464052,0.10800781,2.9593272,-0.008492706,45.391777,0.6048314273357391,26,53248,164.46007394,53248
37.2,48.87264722,475,0.00828183,0.103320315,2.9182029,-0.012640914,43.288033,0.6258338093757629,27,55296,168.764540972,55296
36.43,48.99457288999999,476,0.01050444,0.14223632,2.8639808,-0.012494052,45.19894,0.6550360023975372,28,57344,173.0665233,57344
37.74,51.67233160000001,457,0.006308414,0.07260742,2.8271823,-0.006301754,44.07454,0.6498716473579407,29,59392,177.544290293,59392
38.08,52.55975093,447,0.00915649,0.11557617,2.786694,-0.008035402,45.644264,0.663659930229187,30,61440,182.12133422999997,61440
39.05,54.29706142999999,463,0.0071949298,0.08964844,2.7328117,-0.0049288655,46.40637,0.6557969450950623,31,63488,186.539151117,63488
39.35,54.79717193,461,0.0073462008,0.09580078,2.6987386,-0.0052258344,43.819492,0.6623889207839966,32,65536,190.973560374,65536
39.44,55.44025930000001,483,0.0066667246,0.078710936,2.6626375,-0.0047002444,42.531586,0.6749515533447266,33,67584,195.206089357,67584
38.63,54.893948540000004,468,0.0067785336,0.083544925,2.6179614,-0.003974296,38.514133,0.7044393420219421,34,69632,199.579968584,69632
38.89,55.67052487,454,0.008315807,0.10083008,2.5694346,-0.00782763,40.779865,0.6939495503902435,35,71680,204.08749304699998,71680
38.99,56.228983389999996,432,0.008103808,0.10336914,2.53039,-0.006323658,39.692924,0.7125082314014435,36,73728,208.82103966999998,73728
